region,municipality,district,party,votes
Blekinge län,Karlshamn,2 - Gustavstorp,OGEJ,1
Blekinge län,Karlshamn,3 - Horsaryd,S,498
Blekinge län,Karlshamn,3 - Horsaryd,SD,397
Blekinge län,Karlshamn,3 - Horsaryd,M,224
Blekinge län,Karlshamn,3 - Horsaryd,C,87
Blekinge län,Karlshamn,3 - Horsaryd,V,86
Blekinge län,Karlshamn,3 - Horsaryd,KD,70
Blekinge län,Karlshamn,3 - Horsaryd,MP,51
Blekinge län,Karlshamn,3 - Horsaryd,L,41
Blekinge län,Karlshamn,3 - Horsaryd,BLANK,18
Blekinge län,Karlshamn,3 - Horsaryd,ÖVR,12
Blekinge län,Karlshamn,3 - Horsaryd,FI,6
Blekinge län,Karlshamn,3 - Horsaryd,OGEJ,0
Blekinge län,Karlshamn,3 - Horsaryd,OG,0
Blekinge län,Karlshamn,4 - Hällaryd,SD,442
Blekinge län,Karlshamn,4 - Hällaryd,S,381
Blekinge län,Karlshamn,4 - Hällaryd,M,222
Blekinge län,Karlshamn,4 - Hällaryd,C,190
Blekinge län,Karlshamn,4 - Hällaryd,KD,86
Blekinge län,Karlshamn,4 - Hällaryd,V,71
Blekinge län,Karlshamn,4 - Hällaryd,MP,37
Blekinge län,Karlshamn,4 - Hällaryd,L,33
Blekinge län,Karlshamn,4 - Hällaryd,BLANK,20
Blekinge län,Karlshamn,4 - Hällaryd,ÖVR,12
Blekinge län,Karlshamn,4 - Hällaryd,FI,10
Blekinge län,Karlshamn,4 - Hällaryd,OGEJ,0
Blekinge län,Karlshamn,4 - Hällaryd,OG,0
Blekinge län,Karlshamn,5 - Högadal,S,377
Blekinge län,Karlshamn,5 - Högadal,SD,214
Blekinge län,Karlshamn,5 - Högadal,M,196
Blekinge län,Karlshamn,5 - Högadal,V,80
Blekinge län,Karlshamn,5 - Högadal,C,55
Blekinge län,Karlshamn,5 - Högadal,KD,54
Blekinge län,Karlshamn,5 - Högadal,L,44
Blekinge län,Karlshamn,5 - Högadal,MP,42
Blekinge län,Karlshamn,5 - Högadal,FI,9
Blekinge län,Karlshamn,5 - Högadal,ÖVR,9
Blekinge län,Karlshamn,5 - Högadal,BLANK,7
Blekinge län,Karlshamn,5 - Högadal,OGEJ,0
