region,municipality,district,party,votes
Stockholms kommun,6 Yttre Västerort,18 - Hässelby 19 Hässelby Villastad S,S,110
Stockholms kommun,6 Yttre Västerort,18 - Hässelby 19 Hässelby Villastad S,C,85
Stockholms kommun,6 Yttre Västerort,18 - Hässelby 19 Hässelby Villastad S,SD,84
Stockholms kommun,6 Yttre Västerort,18 - Hässelby 19 Hässelby Villastad S,L,72
Stockholms kommun,6 Yttre Västerort,18 - Hässelby 19 Hässelby Villastad S,KD,55
Stockholms kommun,6 Yttre Västerort,18 - Hässelby 19 Hässelby Villastad S,MP,35
Stockholms kommun,6 Yttre Västerort,18 - Hässelby 19 Hässelby Villastad S,V,28
Stockholms kommun,6 Yttre Västerort,18 - Hässelby 19 Hässelby Villastad S,BLANK,5
Stockholms kommun,6 Yttre Västerort,18 - Hässelby 19 Hässelby Villastad S,ÖVR,2
Stockholms kommun,6 Yttre Västerort,18 - Hässelby 19 Hässelby Villastad S,FI,1
Stockholms kommun,6 Yttre Västerort,18 - Hässelby 19 Hässelby Villastad S,OGEJ,1
Stockholms kommun,6 Yttre Västerort,18 - Hässelby 19 Hässelby Villastad S,OG,0
Stockholms kommun,6 Yttre Västerort,19 - Hässelby 20 Hässelby Gård mellersta,S,368
Stockholms kommun,6 Yttre Västerort,19 - Hässelby 20 Hässelby Gård mellersta,V,137
Stockholms kommun,6 Yttre Västerort,19 - Hässelby 20 Hässelby Gård mellersta,SD,111
Stockholms kommun,6 Yttre Västerort,19 - Hässelby 20 Hässelby Gård mellersta,M,76
Stockholms kommun,6 Yttre Västerort,19 - Hässelby 20 Hässelby Gård mellersta,C,34
Stockholms kommun,6 Yttre Västerort,19 - Hässelby 20 Hässelby Gård mellersta,MP,33
Stockholms kommun,6 Yttre Västerort,19 - Hässelby 20 Hässelby Gård mellersta,KD,26
Stockholms kommun,6 Yttre Västerort,19 - Hässelby 20 Hässelby Gård mellersta,L,25
Stockholms kommun,6 Yttre Västerort,19 - Hässelby 20 Hässelby Gård mellersta,ÖVR,15
Stockholms kommun,6 Yttre Västerort,19 - Hässelby 20 Hässelby Gård mellersta,BLANK,8
Stockholms kommun,6 Yttre Västerort,19 - Hässelby 20 Hässelby Gård mellersta,FI,4
Stockholms kommun,6 Yttre Västerort,19 - Hässelby 20 Hässelby Gård mellersta,OGEJ,0
Stockholms kommun,6 Yttre Västerort,19 - Hässelby 20 Hässelby Gård mellersta,OG,0
Stockholms kommun,6 Yttre Västerort,1 - Hässelby 2 Hässelby Strand S,S,302
Stockholms kommun,6 Yttre Västerort,1 - Hässelby 2 Hässelby Strand S,M,210
Stockholms kommun,6 Yttre Västerort,1 - Hässelby 2 Hässelby Strand S,SD,154
Stockholms kommun,6 Yttre Västerort,1 - Hässelby 2 Hässelby Strand S,V,111
Stockholms kommun,6 Yttre Västerort,1 - Hässelby 2 Hässelby Strand S,C,85
Stockholms kommun,6 Yttre Västerort,1 - Hässelby 2 Hässelby Strand S,MP,71
Stockholms kommun,6 Yttre Västerort,1 - Hässelby 2 Hässelby Strand S,L,69
Stockholms kommun,6 Yttre Västerort,1 - Hässelby 2 Hässelby Strand S,KD,64
Stockholms kommun,6 Yttre Västerort,1 - Hässelby 2 Hässelby Strand S,ÖVR,16
Stockholms kommun,6 Yttre Västerort,1 - Hässelby 2 Hässelby Strand S,FI,5
Stockholms kommun,6 Yttre Västerort,1 - Hässelby 2 Hässelby Strand S,BLANK,4
Stockholms kommun,6 Yttre Västerort,1 - Hässelby 2 Hässelby Strand S,OG,3
Stockholms kommun,6 Yttre Västerort,1 - Hässelby 2 Hässelby Strand S,OGEJ,0
Stockholms kommun,6 Yttre Västerort,20 - Hässelby 21 Hässelby Strand mellan,S,279
Stockholms kommun,6 Yttre Västerort,20 - Hässelby 21 Hässelby Strand mellan,V,129
Stockholms kommun,6 Yttre Västerort,20 - Hässelby 21 Hässelby Strand mellan,M,109
Stockholms kommun,6 Yttre Västerort,20 - Hässelby 21 Hässelby Strand mellan,SD,87
Stockholms kommun,6 Yttre Västerort,20 - Hässelby 21 Hässelby Strand mellan,C,34
Stockholms kommun,6 Yttre Västerort,20 - Hässelby 21 Hässelby Strand mellan,KD,33
Stockholms kommun,6 Yttre Västerort,20 - Hässelby 21 Hässelby Strand mellan,MP,26
Stockholms kommun,6 Yttre Västerort,20 - Hässelby 21 Hässelby Strand mellan,ÖVR,24
Stockholms kommun,6 Yttre Västerort,20 - Hässelby 21 Hässelby Strand mellan,L,23
Stockholms kommun,6 Yttre Västerort,20 - Hässelby 21 Hässelby Strand mellan,FI,6
Stockholms kommun,6 Yttre Västerort,20 - Hässelby 21 Hässelby Strand mellan,BLANK,4
Stockholms kommun,6 Yttre Västerort,20 - Hässelby 21 Hässelby Strand mellan,OGEJ,0
Stockholms kommun,6 Yttre Västerort,20 - Hässelby 21 Hässelby Strand mellan,OG,0
Stockholms kommun,6 Yttre Västerort,21 - Kista 1 Akalla C,S,329
Stockholms kommun,6 Yttre Västerort,21 - Kista 1 Akalla C,V,167
Stockholms kommun,6 Yttre Västerort,21 - Kista 1 Akalla C,SD,77
Stockholms kommun,6 Yttre Västerort,21 - Kista 1 Akalla C,M,74
Stockholms kommun,6 Yttre Västerort,21 - Kista 1 Akalla C,MP,27
Stockholms kommun,6 Yttre Västerort,21 - Kista 1 Akalla C,C,21
Stockholms kommun,6 Yttre Västerort,21 - Kista 1 Akalla C,L,15
Stockholms kommun,6 Yttre Västerort,21 - Kista 1 Akalla C,KD,15
Stockholms kommun,6 Yttre Västerort,21 - Kista 1 Akalla C,ÖVR,11
Stockholms kommun,6 Yttre Västerort,21 - Kista 1 Akalla C,BLANK,5
Stockholms kommun,6 Yttre Västerort,21 - Kista 1 Akalla C,FI,2
Stockholms kommun,6 Yttre Västerort,21 - Kista 1 Akalla C,OGEJ,1
Stockholms kommun,6 Yttre Västerort,21 - Kista 1 Akalla C,OG,1
Stockholms kommun,6 Yttre Västerort,22 - Kista 2 Akalla Ö,S,367
Stockholms kommun,6 Yttre Västerort,22 - Kista 2 Akalla Ö,V,135
Stockholms kommun,6 Yttre Västerort,22 - Kista 2 Akalla Ö,M,78
Stockholms kommun,6 Yttre Västerort,22 - Kista 2 Akalla Ö,SD,49
Stockholms kommun,6 Yttre Västerort,22 - Kista 2 Akalla Ö,KD,19
Stockholms kommun,6 Yttre Västerort,22 - Kista 2 Akalla Ö,MP,15
Stockholms kommun,6 Yttre Västerort,22 - Kista 2 Akalla Ö,C,14
Stockholms kommun,6 Yttre Västerort,22 - Kista 2 Akalla Ö,L,12
Stockholms kommun,6 Yttre Västerort,22 - Kista 2 Akalla Ö,ÖVR,6
Stockholms kommun,6 Yttre Västerort,22 - Kista 2 Akalla Ö,FI,5
Stockholms kommun,6 Yttre Västerort,22 - Kista 2 Akalla Ö,BLANK,3
Stockholms kommun,6 Yttre Västerort,22 - Kista 2 Akalla Ö,OGEJ,0
Stockholms kommun,6 Yttre Västerort,22 - Kista 2 Akalla Ö,OG,0
Stockholms kommun,6 Yttre Västerort,23 - Kista 3 Akalla N,S,304
Stockholms kommun,6 Yttre Västerort,23 - Kista 3 Akalla N,V,122
Stockholms kommun,6 Yttre Västerort,23 - Kista 3 Akalla N,M,102
Stockholms kommun,6 Yttre Västerort,23 - Kista 3 Akalla N,SD,68
Stockholms kommun,6 Yttre Västerort,23 - Kista 3 Akalla N,MP,23
Stockholms kommun,6 Yttre Västerort,23 - Kista 3 Akalla N,C,19
Stockholms kommun,6 Yttre Västerort,23 - Kista 3 Akalla N,KD,19
Stockholms kommun,6 Yttre Västerort,23 - Kista 3 Akalla N,L,18
Stockholms kommun,6 Yttre Västerort,23 - Kista 3 Akalla N,ÖVR,9
Stockholms kommun,6 Yttre Västerort,23 - Kista 3 Akalla N,BLANK,6
Stockholms kommun,6 Yttre Västerort,23 - Kista 3 Akalla N,FI,2
Stockholms kommun,6 Yttre Västerort,23 - Kista 3 Akalla N,OGEJ,0
Stockholms kommun,6 Yttre Västerort,23 - Kista 3 Akalla N,OG,0
Stockholms kommun,6 Yttre Västerort,24 - Kista 4 Akalla V,S,312
Stockholms kommun,6 Yttre Västerort,24 - Kista 4 Akalla V,V,128
Stockholms kommun,6 Yttre Västerort,24 - Kista 4 Akalla V,M,97
Stockholms kommun,6 Yttre Västerort,24 - Kista 4 Akalla V,SD,70
Stockholms kommun,6 Yttre Västerort,24 - Kista 4 Akalla V,MP,49
Stockholms kommun,6 Yttre Västerort,24 - Kista 4 Akalla V,L,46
Stockholms kommun,6 Yttre Västerort,24 - Kista 4 Akalla V,C,33
Stockholms kommun,6 Yttre Västerort,24 - Kista 4 Akalla V,KD,24
Stockholms kommun,6 Yttre Västerort,24 - Kista 4 Akalla V,ÖVR,7
Stockholms kommun,6 Yttre Västerort,24 - Kista 4 Akalla V,BLANK,4
Stockholms kommun,6 Yttre Västerort,24 - Kista 4 Akalla V,FI,2
Stockholms kommun,6 Yttre Västerort,24 - Kista 4 Akalla V,OG,1
Stockholms kommun,6 Yttre Västerort,24 - Kista 4 Akalla V,OGEJ,0
Stockholms kommun,6 Yttre Västerort,25 - Kista 5 Akalla S,S,247
Stockholms kommun,6 Yttre Västerort,25 - Kista 5 Akalla S,V,115
Stockholms kommun,6 Yttre Västerort,25 - Kista 5 Akalla S,M,106
Stockholms kommun,6 Yttre Västerort,25 - Kista 5 Akalla S,SD,81
Stockholms kommun,6 Yttre Västerort,25 - Kista 5 Akalla S,C,34
Stockholms kommun,6 Yttre Västerort,25 - Kista 5 Akalla S,MP,29
Stockholms kommun,6 Yttre Västerort,25 - Kista 5 Akalla S,KD,26
Stockholms kommun,6 Yttre Västerort,25 - Kista 5 Akalla S,L,17
Stockholms kommun,6 Yttre Västerort,25 - Kista 5 Akalla S,FI,8
Stockholms kommun,6 Yttre Västerort,25 - Kista 5 Akalla S,ÖVR,5
Stockholms kommun,6 Yttre Västerort,25 - Kista 5 Akalla S,BLANK,3
Stockholms kommun,6 Yttre Västerort,25 - Kista 5 Akalla S,OGEJ,0
Stockholms kommun,6 Yttre Västerort,25 - Kista 5 Akalla S,OG,0
Stockholms kommun,6 Yttre Västerort,26 - Kista 6 Lofotenparken,S,245
Stockholms kommun,6 Yttre Västerort,26 - Kista 6 Lofotenparken,M,97
Stockholms kommun,6 Yttre Västerort,26 - Kista 6 Lofotenparken,V,92
Stockholms kommun,6 Yttre Västerort,26 - Kista 6 Lofotenparken,SD,85
Stockholms kommun,6 Yttre Västerort,26 - Kista 6 Lofotenparken,MP,29
Stockholms kommun,6 Yttre Västerort,26 - Kista 6 Lofotenparken,KD,26
Stockholms kommun,6 Yttre Västerort,26 - Kista 6 Lofotenparken,C,17
Stockholms kommun,6 Yttre Västerort,26 - Kista 6 Lofotenparken,L,16
Stockholms kommun,6 Yttre Västerort,26 - Kista 6 Lofotenparken,FI,6
Stockholms kommun,6 Yttre Västerort,26 - Kista 6 Lofotenparken,ÖVR,4
Stockholms kommun,6 Yttre Västerort,26 - Kista 6 Lofotenparken,BLANK,4
Stockholms kommun,6 Yttre Västerort,26 - Kista 6 Lofotenparken,OGEJ,0
Stockholms kommun,6 Yttre Västerort,26 - Kista 6 Lofotenparken,OG,0
Stockholms kommun,6 Yttre Västerort,27 - Kista 7 Oslogatan,S,344
Stockholms kommun,6 Yttre Västerort,27 - Kista 7 Oslogatan,V,193
Stockholms kommun,6 Yttre Västerort,27 - Kista 7 Oslogatan,M,43
Stockholms kommun,6 Yttre Västerort,27 - Kista 7 Oslogatan,SD,34
Stockholms kommun,6 Yttre Västerort,27 - Kista 7 Oslogatan,C,21
Stockholms kommun,6 Yttre Västerort,27 - Kista 7 Oslogatan,MP,19
Stockholms kommun,6 Yttre Västerort,27 - Kista 7 Oslogatan,L,8
Stockholms kommun,6 Yttre Västerort,27 - Kista 7 Oslogatan,KD,7
Stockholms kommun,6 Yttre Västerort,27 - Kista 7 Oslogatan,FI,4
Stockholms kommun,6 Yttre Västerort,27 - Kista 7 Oslogatan,BLANK,4
Stockholms kommun,6 Yttre Västerort,27 - Kista 7 Oslogatan,ÖVR,1
Stockholms kommun,6 Yttre Västerort,27 - Kista 7 Oslogatan,OG,1
Stockholms kommun,6 Yttre Västerort,27 - Kista 7 Oslogatan,OGEJ,0
Stockholms kommun,6 Yttre Västerort,28 - Kista 8 Nidarosgatan,S,234
Stockholms kommun,6 Yttre Västerort,28 - Kista 8 Nidarosgatan,V,134
Stockholms kommun,6 Yttre Västerort,28 - Kista 8 Nidarosgatan,M,23
Stockholms kommun,6 Yttre Västerort,28 - Kista 8 Nidarosgatan,SD,22
Stockholms kommun,6 Yttre Västerort,28 - Kista 8 Nidarosgatan,C,19
Stockholms kommun,6 Yttre Västerort,28 - Kista 8 Nidarosgatan,KD,9
Stockholms kommun,6 Yttre Västerort,28 - Kista 8 Nidarosgatan,MP,9
Stockholms kommun,6 Yttre Västerort,28 - Kista 8 Nidarosgatan,L,4
Stockholms kommun,6 Yttre Västerort,28 - Kista 8 Nidarosgatan,BLANK,3
Stockholms kommun,6 Yttre Västerort,28 - Kista 8 Nidarosgatan,FI,2
Stockholms kommun,6 Yttre Västerort,28 - Kista 8 Nidarosgatan,ÖVR,0
Stockholms kommun,6 Yttre Västerort,28 - Kista 8 Nidarosgatan,OGEJ,0
Stockholms kommun,6 Yttre Västerort,28 - Kista 8 Nidarosgatan,OG,0
Stockholms kommun,6 Yttre Västerort,29 - Kista 9 Bergensgatan,S,360
Stockholms kommun,6 Yttre Västerort,29 - Kista 9 Bergensgatan,V,171
Stockholms kommun,6 Yttre Västerort,29 - Kista 9 Bergensgatan,M,49
Stockholms kommun,6 Yttre Västerort,29 - Kista 9 Bergensgatan,SD,39
Stockholms kommun,6 Yttre Västerort,29 - Kista 9 Bergensgatan,MP,31
Stockholms kommun,6 Yttre Västerort,29 - Kista 9 Bergensgatan,KD,15
Stockholms kommun,6 Yttre Västerort,29 - Kista 9 Bergensgatan,C,10
Stockholms kommun,6 Yttre Västerort,29 - Kista 9 Bergensgatan,ÖVR,10
Stockholms kommun,6 Yttre Västerort,29 - Kista 9 Bergensgatan,L,8
Stockholms kommun,6 Yttre Västerort,29 - Kista 9 Bergensgatan,FI,6
Stockholms kommun,6 Yttre Västerort,29 - Kista 9 Bergensgatan,BLANK,4
Stockholms kommun,6 Yttre Västerort,29 - Kista 9 Bergensgatan,OGEJ,0
Stockholms kommun,6 Yttre Västerort,29 - Kista 9 Bergensgatan,OG,0
Stockholms kommun,6 Yttre Västerort,2 - Hässelby 3 Hässelby Strand N,S,299
Stockholms kommun,6 Yttre Västerort,2 - Hässelby 3 Hässelby Strand N,M,133
Stockholms kommun,6 Yttre Västerort,2 - Hässelby 3 Hässelby Strand N,SD,127
Stockholms kommun,6 Yttre Västerort,2 - Hässelby 3 Hässelby Strand N,V,118
Stockholms kommun,6 Yttre Västerort,2 - Hässelby 3 Hässelby Strand N,MP,38
Stockholms kommun,6 Yttre Västerort,2 - Hässelby 3 Hässelby Strand N,KD,36
Stockholms kommun,6 Yttre Västerort,2 - Hässelby 3 Hässelby Strand N,C,35
Stockholms kommun,6 Yttre Västerort,2 - Hässelby 3 Hässelby Strand N,L,34
Stockholms kommun,6 Yttre Västerort,2 - Hässelby 3 Hässelby Strand N,FI,5
Stockholms kommun,6 Yttre Västerort,2 - Hässelby 3 Hässelby Strand N,ÖVR,5
Stockholms kommun,6 Yttre Västerort,2 - Hässelby 3 Hässelby Strand N,BLANK,4
Stockholms kommun,6 Yttre Västerort,2 - Hässelby 3 Hässelby Strand N,OG,2
Stockholms kommun,6 Yttre Västerort,2 - Hässelby 3 Hässelby Strand N,OGEJ,0
Stockholms kommun,6 Yttre Västerort,30 - Kista 10 Nordkapsgatan,S,259
Stockholms kommun,6 Yttre Västerort,30 - Kista 10 Nordkapsgatan,V,112
Stockholms kommun,6 Yttre Västerort,30 - Kista 10 Nordkapsgatan,M,47
Stockholms kommun,6 Yttre Västerort,30 - Kista 10 Nordkapsgatan,SD,29
Stockholms kommun,6 Yttre Västerort,30 - Kista 10 Nordkapsgatan,MP,15
Stockholms kommun,6 Yttre Västerort,30 - Kista 10 Nordkapsgatan,KD,14
Stockholms kommun,6 Yttre Västerort,30 - Kista 10 Nordkapsgatan,L,11
Stockholms kommun,6 Yttre Västerort,30 - Kista 10 Nordkapsgatan,C,9
Stockholms kommun,6 Yttre Västerort,30 - Kista 10 Nordkapsgatan,ÖVR,3
Stockholms kommun,6 Yttre Västerort,30 - Kista 10 Nordkapsgatan,FI,1
Stockholms kommun,6 Yttre Västerort,30 - Kista 10 Nordkapsgatan,BLANK,1
Stockholms kommun,6 Yttre Västerort,30 - Kista 10 Nordkapsgatan,OG,1
Stockholms kommun,6 Yttre Västerort,30 - Kista 10 Nordkapsgatan,OGEJ,0
Stockholms kommun,6 Yttre Västerort,31 - Kista 11 Trondheimsgatan,S,249
Stockholms kommun,6 Yttre Västerort,31 - Kista 11 Trondheimsgatan,V,94
Stockholms kommun,6 Yttre Västerort,31 - Kista 11 Trondheimsgatan,MP,25
Stockholms kommun,6 Yttre Västerort,31 - Kista 11 Trondheimsgatan,M,21
Stockholms kommun,6 Yttre Västerort,31 - Kista 11 Trondheimsgatan,SD,21
Stockholms kommun,6 Yttre Västerort,31 - Kista 11 Trondheimsgatan,C,11
Stockholms kommun,6 Yttre Västerort,31 - Kista 11 Trondheimsgatan,L,8
Stockholms kommun,6 Yttre Västerort,31 - Kista 11 Trondheimsgatan,KD,6
Stockholms kommun,6 Yttre Västerort,31 - Kista 11 Trondheimsgatan,BLANK,4
Stockholms kommun,6 Yttre Västerort,31 - Kista 11 Trondheimsgatan,OG,2
Stockholms kommun,6 Yttre Västerort,31 - Kista 11 Trondheimsgatan,FI,0
Stockholms kommun,6 Yttre Västerort,31 - Kista 11 Trondheimsgatan,ÖVR,0
Stockholms kommun,6 Yttre Västerort,31 - Kista 11 Trondheimsgatan,OGEJ,0
Stockholms kommun,6 Yttre Västerort,32 - Kista 12 Kista mellersta,S,282
Stockholms kommun,6 Yttre Västerort,32 - Kista 12 Kista mellersta,M,151
Stockholms kommun,6 Yttre Västerort,32 - Kista 12 Kista mellersta,V,126
Stockholms kommun,6 Yttre Västerort,32 - Kista 12 Kista mellersta,SD,72
Stockholms kommun,6 Yttre Västerort,32 - Kista 12 Kista mellersta,L,47
Stockholms kommun,6 Yttre Västerort,32 - Kista 12 Kista mellersta,C,42
Stockholms kommun,6 Yttre Västerort,32 - Kista 12 Kista mellersta,KD,40
Stockholms kommun,6 Yttre Västerort,32 - Kista 12 Kista mellersta,MP,40
Stockholms kommun,6 Yttre Västerort,32 - Kista 12 Kista mellersta,ÖVR,11
Stockholms kommun,6 Yttre Västerort,32 - Kista 12 Kista mellersta,FI,10
Stockholms kommun,6 Yttre Västerort,32 - Kista 12 Kista mellersta,BLANK,2
Stockholms kommun,6 Yttre Västerort,32 - Kista 12 Kista mellersta,OG,1
Stockholms kommun,6 Yttre Västerort,32 - Kista 12 Kista mellersta,OGEJ,0
Stockholms kommun,6 Yttre Västerort,33 - Kista 13 Kista C,S,310
Stockholms kommun,6 Yttre Västerort,33 - Kista 13 Kista C,M,151
Stockholms kommun,6 Yttre Västerort,33 - Kista 13 Kista C,V,144
Stockholms kommun,6 Yttre Västerort,33 - Kista 13 Kista C,SD,86
Stockholms kommun,6 Yttre Västerort,33 - Kista 13 Kista C,L,39
Stockholms kommun,6 Yttre Västerort,33 - Kista 13 Kista C,C,37
Stockholms kommun,6 Yttre Västerort,33 - Kista 13 Kista C,MP,34
Stockholms kommun,6 Yttre Västerort,33 - Kista 13 Kista C,KD,29
Stockholms kommun,6 Yttre Västerort,33 - Kista 13 Kista C,BLANK,5
Stockholms kommun,6 Yttre Västerort,33 - Kista 13 Kista C,FI,4
Stockholms kommun,6 Yttre Västerort,33 - Kista 13 Kista C,ÖVR,4
Stockholms kommun,6 Yttre Västerort,33 - Kista 13 Kista C,OGEJ,0
Stockholms kommun,6 Yttre Västerort,33 - Kista 13 Kista C,OG,0
Stockholms kommun,6 Yttre Västerort,34 - Kista 14 Kista V,S,321
Stockholms kommun,6 Yttre Västerort,34 - Kista 14 Kista V,M,139
Stockholms kommun,6 Yttre Västerort,34 - Kista 14 Kista V,V,136
Stockholms kommun,6 Yttre Västerort,34 - Kista 14 Kista V,SD,87
Stockholms kommun,6 Yttre Västerort,34 - Kista 14 Kista V,L,44
Stockholms kommun,6 Yttre Västerort,34 - Kista 14 Kista V,MP,38
Stockholms kommun,6 Yttre Västerort,34 - Kista 14 Kista V,C,36
Stockholms kommun,6 Yttre Västerort,34 - Kista 14 Kista V,KD,31
Stockholms kommun,6 Yttre Västerort,34 - Kista 14 Kista V,ÖVR,9
Stockholms kommun,6 Yttre Västerort,34 - Kista 14 Kista V,BLANK,7
Stockholms kommun,6 Yttre Västerort,34 - Kista 14 Kista V,FI,4
Stockholms kommun,6 Yttre Västerort,34 - Kista 14 Kista V,OG,2
Stockholms kommun,6 Yttre Västerort,34 - Kista 14 Kista V,OGEJ,0
Stockholms kommun,6 Yttre Västerort,35 - Kista 15 Ärvinge S,S,238
Stockholms kommun,6 Yttre Västerort,35 - Kista 15 Ärvinge S,V,111
Stockholms kommun,6 Yttre Västerort,35 - Kista 15 Ärvinge S,M,95
Stockholms kommun,6 Yttre Västerort,35 - Kista 15 Ärvinge S,SD,76
Stockholms kommun,6 Yttre Västerort,35 - Kista 15 Ärvinge S,C,39
Stockholms kommun,6 Yttre Västerort,35 - Kista 15 Ärvinge S,MP,38
Stockholms kommun,6 Yttre Västerort,35 - Kista 15 Ärvinge S,KD,28
Stockholms kommun,6 Yttre Västerort,35 - Kista 15 Ärvinge S,L,27
Stockholms kommun,6 Yttre Västerort,35 - Kista 15 Ärvinge S,ÖVR,18
Stockholms kommun,6 Yttre Västerort,35 - Kista 15 Ärvinge S,FI,3
Stockholms kommun,6 Yttre Västerort,35 - Kista 15 Ärvinge S,BLANK,2
Stockholms kommun,6 Yttre Västerort,35 - Kista 15 Ärvinge S,OGEJ,1
Stockholms kommun,6 Yttre Västerort,35 - Kista 15 Ärvinge S,OG,0
Stockholms kommun,6 Yttre Västerort,36 - Kista 16 Kista Gård,S,283
Stockholms kommun,6 Yttre Västerort,36 - Kista 16 Kista Gård,M,161
Stockholms kommun,6 Yttre Västerort,36 - Kista 16 Kista Gård,V,123
Stockholms kommun,6 Yttre Västerort,36 - Kista 16 Kista Gård,C,45
Stockholms kommun,6 Yttre Västerort,36 - Kista 16 Kista Gård,L,29
Stockholms kommun,6 Yttre Västerort,36 - Kista 16 Kista Gård,MP,29
Stockholms kommun,6 Yttre Västerort,36 - Kista 16 Kista Gård,SD,27
Stockholms kommun,6 Yttre Västerort,36 - Kista 16 Kista Gård,KD,25
Stockholms kommun,6 Yttre Västerort,36 - Kista 16 Kista Gård,ÖVR,8
Stockholms kommun,6 Yttre Västerort,36 - Kista 16 Kista Gård,FI,4
Stockholms kommun,6 Yttre Västerort,36 - Kista 16 Kista Gård,OG,1
Stockholms kommun,6 Yttre Västerort,36 - Kista 16 Kista Gård,OGEJ,0
Stockholms kommun,6 Yttre Västerort,36 - Kista 16 Kista Gård,BLANK,0
Stockholms kommun,6 Yttre Västerort,37 - Kista 17 Ärvinge N,S,219
Stockholms kommun,6 Yttre Västerort,37 - Kista 17 Ärvinge N,M,104
Stockholms kommun,6 Yttre Västerort,37 - Kista 17 Ärvinge N,V,86
Stockholms kommun,6 Yttre Västerort,37 - Kista 17 Ärvinge N,SD,59
Stockholms kommun,6 Yttre Västerort,37 - Kista 17 Ärvinge N,C,35
Stockholms kommun,6 Yttre Västerort,37 - Kista 17 Ärvinge N,MP,28
Stockholms kommun,6 Yttre Västerort,37 - Kista 17 Ärvinge N,KD,27
Stockholms kommun,6 Yttre Västerort,37 - Kista 17 Ärvinge N,L,21
Stockholms kommun,6 Yttre Västerort,37 - Kista 17 Ärvinge N,ÖVR,12
Stockholms kommun,6 Yttre Västerort,37 - Kista 17 Ärvinge N,FI,2
Stockholms kommun,6 Yttre Västerort,37 - Kista 17 Ärvinge N,BLANK,2
Stockholms kommun,6 Yttre Västerort,37 - Kista 17 Ärvinge N,OGEJ,0
Stockholms kommun,6 Yttre Västerort,37 - Kista 17 Ärvinge N,OG,0
Stockholms kommun,6 Yttre Västerort,38 - Kista 18 Kista S,S,278
Stockholms kommun,6 Yttre Västerort,38 - Kista 18 Kista S,M,117
Stockholms kommun,6 Yttre Västerort,38 - Kista 18 Kista S,V,116
Stockholms kommun,6 Yttre Västerort,38 - Kista 18 Kista S,SD,79
Stockholms kommun,6 Yttre Västerort,38 - Kista 18 Kista S,C,49
Stockholms kommun,6 Yttre Västerort,38 - Kista 18 Kista S,MP,44
Stockholms kommun,6 Yttre Västerort,38 - Kista 18 Kista S,KD,28
Stockholms kommun,6 Yttre Västerort,38 - Kista 18 Kista S,L,27
Stockholms kommun,6 Yttre Västerort,38 - Kista 18 Kista S,FI,7
Stockholms kommun,6 Yttre Västerort,38 - Kista 18 Kista S,ÖVR,7
Stockholms kommun,6 Yttre Västerort,38 - Kista 18 Kista S,BLANK,1
Stockholms kommun,6 Yttre Västerort,38 - Kista 18 Kista S,OG,1
Stockholms kommun,6 Yttre Västerort,38 - Kista 18 Kista S,OGEJ,0
Stockholms kommun,6 Yttre Västerort,39 - Kista 19 Kista Ö,S,175
Stockholms kommun,6 Yttre Västerort,39 - Kista 19 Kista Ö,M,112
Stockholms kommun,6 Yttre Västerort,39 - Kista 19 Kista Ö,V,91
Stockholms kommun,6 Yttre Västerort,39 - Kista 19 Kista Ö,SD,46
Stockholms kommun,6 Yttre Västerort,39 - Kista 19 Kista Ö,MP,37
Stockholms kommun,6 Yttre Västerort,39 - Kista 19 Kista Ö,C,34
Stockholms kommun,6 Yttre Västerort,39 - Kista 19 Kista Ö,L,31
Stockholms kommun,6 Yttre Västerort,39 - Kista 19 Kista Ö,KD,20
Stockholms kommun,6 Yttre Västerort,39 - Kista 19 Kista Ö,ÖVR,8
Stockholms kommun,6 Yttre Västerort,39 - Kista 19 Kista Ö,FI,6
Stockholms kommun,6 Yttre Västerort,39 - Kista 19 Kista Ö,OGEJ,2
Stockholms kommun,6 Yttre Västerort,39 - Kista 19 Kista Ö,OG,2
Stockholms kommun,6 Yttre Västerort,39 - Kista 19 Kista Ö,BLANK,0
Stockholms kommun,6 Yttre Västerort,3 - Hässelby 4 Hässelby Strand Ö,S,256
Stockholms kommun,6 Yttre Västerort,3 - Hässelby 4 Hässelby Strand Ö,M,101
Stockholms kommun,6 Yttre Västerort,3 - Hässelby 4 Hässelby Strand Ö,V,96
Stockholms kommun,6 Yttre Västerort,3 - Hässelby 4 Hässelby Strand Ö,SD,82
Stockholms kommun,6 Yttre Västerort,3 - Hässelby 4 Hässelby Strand Ö,L,31
Stockholms kommun,6 Yttre Västerort,3 - Hässelby 4 Hässelby Strand Ö,KD,30
Stockholms kommun,6 Yttre Västerort,3 - Hässelby 4 Hässelby Strand Ö,C,29
Stockholms kommun,6 Yttre Västerort,3 - Hässelby 4 Hässelby Strand Ö,MP,29
Stockholms kommun,6 Yttre Västerort,3 - Hässelby 4 Hässelby Strand Ö,ÖVR,15
Stockholms kommun,6 Yttre Västerort,3 - Hässelby 4 Hässelby Strand Ö,FI,5
Stockholms kommun,6 Yttre Västerort,3 - Hässelby 4 Hässelby Strand Ö,BLANK,3
Stockholms kommun,6 Yttre Västerort,3 - Hässelby 4 Hässelby Strand Ö,OGEJ,1
Stockholms kommun,6 Yttre Västerort,3 - Hässelby 4 Hässelby Strand Ö,OG,0
Stockholms kommun,6 Yttre Västerort,40 - Kista 20 Husby C,S,268
Stockholms kommun,6 Yttre Västerort,40 - Kista 20 Husby C,V,125
